Index,Country
1,Papua New Guinea
2,Finland
3,China
4,Turkmenistan
5,Mauritius
6,Bahamas
7,Pakistan
8,Heard Island and McDonald Islands
9,Kuwait
10,Uzbekistan
11,Bouvet Island (Bouvetoya)
12,Denmark
13,Liberia
14,United Arab Emirates
15,Sweden
16,Honduras
17,Uganda
18,Hong Kong
19,Botswana
20,Korea
21,Luxembourg
22,Guadeloupe
23,Monaco
24,Belgium
25,South Africa
26,Romania
27,Czech Republic
28,Christmas Island
29,Philippines
30,Australia
31,Chad
32,Zimbabwe
33,Nepal
34,Taiwan
35,Kyrgyz Republic
36,Bolivia
37,Kenya
38,Guatemala
39,Belarus
40,Jersey
41,Grenada
42,Cape Verde
43,Trinidad and Tobago
44,Sweden
45,Benin
46,Western Sahara
47,Northern Mariana Islands
48,Germany
49,Canada
50,Tonga
51,French Southern Territories
52,Korea
53,Cote d'Ivoire
54,Cote d'Ivoire
55,Mayotte
56,Cayman Islands
57,Nigeria
58,Marshall Islands
59,Palau
60,Turkey
61,Timor-Leste
62,Vietnam
63,Reunion
64,Brazil
65,Eritrea
66,United States Virgin Islands
67,Falkland Islands (Malvinas)
68,Luxembourg
69,Northern Mariana Islands
70,Netherlands Antilles
71,Guernsey
72,Uruguay
73,Benin
74,Suriname
75,Pakistan
76,Mongolia
77,Svalbard & Jan Mayen Islands
78,Togo
79,Latvia
80,Cuba
81,Liechtenstein
82,Djibouti
83,Micronesia
84,Cameroon
85,Sweden
86,Cocos (Keeling) Islands
87,Mali
88,United States Virgin Islands
89,Eritrea
90,Burundi
91,Benin
92,Gibraltar
93,El Salvador
94,Taiwan
95,Zimbabwe
96,Ethiopia
97,Anguilla
98,Falkland Islands (Malvinas)
99,Kyrgyz Republic
100,Togo
